title,artist
Só Tinha de Ser Com Voce,Antonio Carlos Jobim
Garota de Ipanema (Girl from Ipanema),Antonio Carlos Jobim
Samba do Avião,Antonio Carlos Jobim
Brasil Nativo,Antonio Carlos Jobim
Esperança Perdida,Antonio Carlos Jobim
A Felicidade,Antonio Carlos Jobim
Samba de uma Nota só,Antonio Carlos Jobim
Vivo Sonhando (Dreamer),Antonio Carlos Jobim
Brigas Nunca Mais / Discussão,Antonio Carlos Jobim
Frevo,Antonio Carlos Jobim
Pois é,Antonio Carlos Jobim
Só Tinha de Ser Com Você,Antonio Carlos Jobim
O Amor em Paz,Antonio Carlos Jobim
Solidão,Antonio Carlos Jobim
Carta ao Tom / Carta do Tom (Ao Vivo),Antonio Carlos Jobim
Sem Você,Antonio Carlos Jobim
A Felicidade,Antonio Carlos Jobim
Por Causa De Você,Antonio Carlos Jobim
Canta Mais,Antonio Carlos Jobim
Você Vai Ver,Antonio Carlos Jobim
A Felicidade,Antonio Carlos Jobim
Se Todos Fossem Iguais a Você,Antonio Carlos Jobim
Amor em paz,Antonio Carlos Jobim
Para Machuchar Meu Coracao (To Hurt My Heart),Antonio Carlos Jobim
Wave (Ao Vivo),Antonio Carlos Jobim
Vai Levando,Antonio Carlos Jobim
Água de Beber,Antonio Carlos Jobim
Bebel,Antonio Carlos Jobim
Samba do Avião,Antonio Carlos Jobim
Samba do carioca,Antonio Carlos Jobim
Chora Coração,Antonio Carlos Jobim
Lígia,Antonio Carlos Jobim
Fotografia - Photograph,Antonio Carlos Jobim
Valsa de Eurídice,Antonio Carlos Jobim
Águas de Março,Antonio Carlos Jobim
A Felicidade,Antonio Carlos Jobim
Esquecendo Você,Antonio Carlos Jobim
O morro,Antonio Carlos Jobim
Derradeira primavera,Antonio Carlos Jobim
Lamento No Morro,Antonio Carlos Jobim
Beatriz,Antonio Carlos Jobim
Água de Beber,Antonio Carlos Jobim
Sabiá,Antonio Carlos Jobim
Águas de Março,Antonio Carlos Jobim
Estrada do Sol,Antonio Carlos Jobim
Eu Preciso de Você,Antonio Carlos Jobim
"Mulher, sempre mulher",Antonio Carlos Jobim
É Preciso Dizer Adeus,Antonio Carlos Jobim
Por Toda a Minha Vida,Antonio Carlos Jobim
Modinha (Seresta n° 5),Antonio Carlos Jobim
Samba De Maria Luíza,Antonio Carlos Jobim
