word,count
nao,294
meu,153
amor,152
vou,117
vida,89
tem,81
mim,79
sei,77
como,72
minha,66
coracao,62
sempre,59
assim,59
quero,59
gente,57
nem,55
tao,53
ela,50
bem,50
vez,46
teu,45
ver,44
morro,43
toda,42
dia,40
samba,40
quando,38
nunca,37
sera,36
sol,35
porque,35
tempo,35
coisa,34
todo,34
triste,33
mundo,33
bom,33
deixa,32
tristeza,32
mar,31
seu,31
olhos,31
cantar,31
dindi,31
canta,31
tudo,30
ninguem,30
esse,30
viver,29
rio,29
